#Procedure: <__main__.SolarisMesurement>
#Parameters:
#	Average: 10
#	Bias voltage: 0.1 V
#	Compliance: 1
#	Keithley address: GPIB0::24::INSTR
#	Experiment Mode: Multimeter Mode
#	Mode multimeter: C->D
#	Mode source: C,B,->A,D
#	Multimeter address: GPIB0::18::INSTR
#	NPLC: 1
#	Number of pulses: 5
#	A: Col 1
#	B: Col 6
#	C: Col 3
#	D: Col 8
#	Pulse delay: 0.2 s
#	Pulse time: 0.1 s
#	Resistance Value: 
#	Sample: MgO001_Pt_NiO_L12test
#	Sourcemeter device: Keithley 2400
#	Switch source -: Row 4
#	Switch source +: Row 5
#	Pulse amplitude vector [start, step, stop]: 0,8,9,15,-9,3,0
#Data:
index,Pulse Voltage (V),Current (A),Sense voltage (V),Resistance (ohm)
1,nan,nan,nan,1.0
2,nan,nan,nan,1.0
3,nan,nan,nan,1.0
4,nan,nan,nan,1.0
5,nan,nan,nan,1.0
6,nan,nan,nan,1.0
7,nan,nan,nan,1.0
8,nan,nan,nan,1.0
9,nan,nan,nan,1.0
10,nan,nan,nan,1.0
11,nan,nan,nan,1.0
12,nan,nan,nan,1.0
13,nan,nan,nan,1.0
14,nan,nan,nan,1.0
15,nan,nan,nan,1.0
16,nan,nan,nan,1.0
17,nan,nan,nan,1.0
18,nan,nan,nan,1.0
19,nan,nan,nan,1.0
20,nan,nan,nan,1.0
21,nan,nan,nan,1.0
22,nan,nan,nan,1.0
23,nan,nan,nan,1.0
24,nan,nan,nan,1.0
25,nan,nan,nan,1.0
26,nan,nan,nan,1.0
27,nan,nan,nan,1.0
28,nan,nan,nan,1.0
29,nan,nan,nan,1.0
30,nan,nan,nan,1.0
31,nan,nan,nan,1.0
32,nan,nan,nan,1.0
33,nan,nan,nan,1.0
34,nan,nan,nan,1.0
35,nan,nan,nan,1.0
36,nan,nan,nan,1.0
37,nan,nan,nan,1.0
38,nan,nan,nan,1.0
39,nan,nan,nan,1.0
40,nan,nan,nan,1.0
41,nan,nan,nan,1.0
42,nan,nan,nan,1.0
43,nan,nan,nan,1.0
44,nan,nan,nan,1.0
45,nan,nan,nan,1.0
46,nan,nan,nan,1.0
47,nan,nan,nan,1.0
48,nan,nan,nan,1.0
49,nan,nan,nan,1.0
50,nan,nan,nan,1.0
51,nan,nan,nan,1.0
52,nan,nan,nan,1.0
53,nan,nan,nan,1.0
54,nan,nan,nan,1.0
55,nan,nan,nan,1.0
56,nan,nan,nan,1.0
57,nan,nan,nan,1.0
58,nan,nan,nan,1.0
59,nan,nan,nan,1.0
60,nan,nan,nan,1.0
61,nan,nan,nan,1.0
62,nan,nan,nan,1.0
63,nan,nan,nan,1.0
